INDICATOR,MATCHUP,X,Y
RushYds,MIA_Defense x IND_Offense,6.336407043230639,6.9981673011234315
RushYds,MIA_Offense x IND_Defense,4.67914315305909,6.584784524084248
PassYds,MIA_Defense x IND_Offense,5.644649143710105,5.7694226792699
PassYds,MIA_Offense x IND_Defense,4.7844373887095815,6.288566199873669
SackedYards,MIA_Defense x IND_Offense,6.247888514160112,3.9849213002385446
SackedYards,MIA_Offense x IND_Defense,5.005508789191561,5.41340940598693
Turnovers,MIA_Defense x IND_Offense,6.727494996381448,3.029143605764967
Turnovers,MIA_Offense x IND_Defense,4.640052288203396,3.7229842569602263
PenaltyYds,MIA_Defense x IND_Offense,6.230715061120399,6.8719653981023505
PenaltyYds,MIA_Offense x IND_Defense,4.581748827063948,7.758885553390593
TimeofPossession,MIA_Defense x IND_Offense,6.269834981645942,8.71991117442441
TimeofPossession,MIA_Offense x IND_Defense,4.722101327464698,10.31793288158735
